学校名称（中文）,学校名称（英文）,主校区地址,邮编,学制,办公室电话（校务）
上海美国学校,Shanghai American School,闵行区，金丰路258号,201107,幼儿园、小学、初中、高中,62211445
上海协和国际外籍人员子女学校,Concordia International School Shanghai,浦东金桥，上海浦东金桥明月路999号,201206,幼儿园至高中学历,58990380
上海虹桥国际学校,Shanghai Rainbow Bridge International School,，上海市虹桥路2381号,200335,幼儿园，小学,
上海日本人学校,Shanghai Japanese School,闵行区，上海市虹梅路3185号,201103,、初中义务教育，高中,
上海耀中国际学校,Yew Chung International School of Shanghai,，水城路11-15号,200336,学前教育到高中教育,
上海虹桥德国外籍人员子女学校,German School Shanghai,青浦区，高光路350号,201702,，小学，初中，高中,39760555-300
上海法国外籍人员子女学校,Shanghai French School,青浦区，高光路350号,201702,幼儿园，小学，中学,
上海英国外籍人员子女学校,"The British International School, Shanghai",上海市浦东，军民公路2888号,201315,幼儿园，小学，初中，高中,
上海新加坡外籍人员子女学校,Shanghai Singapore International School,闵行区，朱建路301号,201106,幼儿园、小学、初中、高中,
上海长宁国际学校,Shanghai Community International School,长宁区，虹桥路1161号,200051,幼儿园-高中,
上海韩国学校,Shanghai Korean School,闵行区，华漕镇联友路355号,201107,,
上海德威外籍人员子女学校,Shanghai Dulwich International School,浦东新区，上海浦东蓝桉路266号,201206,幼儿园至高中,
上海李文斯顿美国学校,Livingston American School Shanghai,长宁区，甘溪路580号,200335,高中,52188575-1005
上海西华外籍人员子女学校,Western International School of Shanghai,青浦区徐泾，上海市青浦区徐泾镇联民路555号,201702,学前班及1至12年级国际课程,69766388
上海泰宁外籍人员子女幼儿园,Tiny Tots International Pre-School and Kindergarten,徐汇区，复兴西路43号,200031,幼儿园,64313788
上海美丘第一幼儿园,Shanghai Utsukushigaoka Montessori Kindergarten,上海市闵行，虹许路788号名都城22号,201103,幼儿园,
上海奥伊斯嘉日本语幼儿园,Shanghai OISCA Japanese Kindergarten,长宁区，上海长宁区天山西路445弄16号,200335,幼儿园教育,
上海恩吉尔幼儿园,Shanghai Angel Kindergarten,闵行区，虹中路375号,201103,韩国幼儿教育,021）64012393
东进上海日本人幼儿园,Toshin International Kindergarten,闵行区，闵行区虹梅路3081号虹桥别墅内,201103,外籍人员子女学校,
东进上海日本人补习中心,TOSHIN INTERNATIONAL AFTERSCHOOL,浦东，浦东花木路1883弄御翠园230号,201204,外籍人员子女学校,
上海骏台日本人补习中心,SHANGHAI SUNDAI SCHOOL,长宁区，延安西路2633号 B308室,200336,中、小学生课外辅导,
上海日本人教育补习中心,Japanese Classroom Shanghai Educational Academy,长宁区，荣华东道118号5层503室,201103,补习教育,
上海飞翔日本人补习中心,Shanghai Hishou Japanese Continuation Study Center,长宁区，上海市荣华东道96号维多利亚商务楼504-505室,201103,为在沪日本籍中小学生补习,
上海青海韩国人补习中心,Shanghai Qinghai Korea Academy,长宁区，上海市长宁区水城南路37号万科广场北楼705室,201103,小学，中学，高中,
上海新大一韩国人补习中心,Shanghai KOSEI Academy,长宁区，上海市长宁区荣华东道96号C座3楼,201103,补习,
上海一麦日本人补习中心,SHANGHAI YIMAI JAPANESE MANDARIN LEARNING INSTITUTE,浦东新区，上海市浦东新区锦延路168号2楼2室,200127,小学、初中,50453072
上海中学国际部,Shanghai High School International Division,徐汇区，上中路400号,200231,1年级至12年级,
上海市进才中学国际部,International Division of Shanghai Jin Cai High School,浦东新区，上海市浦东新区峨山路26号,200127,初中、高中,
上海外国语大学附属外国语学校国际部,Shanghai Foreign Language School Affiliate To SISUInternational Division,虹口区，中山北一路295号,200083,高中,
华东师范大学第二附属中学国际部,No2. High School of East China Normal University International Division,浦东新区，晨晖路555号,201203,初中、高中,
宋庆龄幼儿园国际部,Song Ching King Kindergarten International Division,长宁区，虹梅路3908号,201103,,
复旦大学附属中学国际部,Fudan International School,杨浦区，上海市杨浦区国权路325号,200433,小学至高中（1-12年级）,
上海市实验学校国际部,Shanghai Experimental Shool International Division,浦东新区，东明路300号,200125,1-9年级,64140233
上海宋庆龄学校国际部,Shanghai Soong Ching Ling School International Division,上海青浦区，赵巷业辉路2号,201703,小学，初中,
上海不列颠英国外籍人员子女学校,"Britannica International School, Shanghai",闵行区，古北路1988号,201103,学前、小学、初中和高中阶段教育,
上海惠灵顿国际学校,WELLINGTON COLLEGE INTERNATIONAL SHANGHAI,上海市浦东，上海市浦东新区耀龙路1500号,200126,外籍人员子女学校,
上海哈罗外籍人员子女学校,Shanghai Harrow School for Children of Foreign Nationality,浦东新区，浦东高西路588号（近张扬北路洲海路）,200137,学前至高中,
